"created_date","agency","complaint_type","descriptor","borough","incident_zip","latitude","longitude","location_type","street_name","status","resolution_description"
"2026-03-20T12:41:08.000","DOT","Street Condition","Pothole","BRONX","10460",,,,"EAST TREMONT AVENUE","Closed","The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed."
"2026-03-20T12:40:59.000","DPR","Damaged Tree","Branch Cracked and Will Fall","BROOKLYN","11211","40.71640624352505","-73.94734726595817","Street","JACKSON STREET","In Progress",
"2026-03-20T12:40:57.000","DOT","Street Condition","Pothole","QUEENS","11366","40.72233857469632","-73.80195368157871",,,"Closed","The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed."
"2026-03-20T12:40:38.000","DOT","Street Condition","Cave-in","BROOKLYN","11208","40.68326925711452","-73.88164427244072","Street","RIDGEWOOD AVENUE","In Progress",
"2026-03-20T12:39:34.000","DOT","Street Condition","Pothole","QUEENS","11413",,,,"184 STREET","Closed","The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed."
"2026-03-20T12:39:03.000","DOT","Street Condition","Defective Hardware","QUEENS","11385","40.70869891783926","-73.89820179915995","Street","FRESH POND ROAD","In Progress","The Department of Transportation will inspect the condition and will determine the next action."
"2026-03-20T12:39:00.000","DEP","Water System","LOW WATER PRESSURE - WLWP","BROOKLYN","11222","40.73180105718921","-73.95242623476172",,"JAVA STREET","Closed","The Department of Environmental Protection investigated this complaint and found it to be a temporary condition."
"2026-03-20T12:38:11.000","DOT","Street Condition","Pothole","BRONX","10465",,,,"CLARENCE AVENUE","Closed","The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed."
"2026-03-20T12:37:40.000","DOT","Street Condition","Blocked - Construction","BROOKLYN","11211","40.714835911389116","-73.9529253232045","Street","NORTH 7 STREET","In Progress",
"2026-03-20T12:37:00.000","DEP","Water System","Possible Water Main Break (Use Comments) (WA1)","BROOKLYN","11206","40.70170597380606","-73.93772218778022",,"FLUSHING AVENUE","Closed","The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed."
"2026-03-20T12:36:00.000","DOT","Street Light Condition","Street Light Out","BRONX","10470","40.89792997096746","-73.86248156626377",,"WEBSTER AVENUE","Open",
"2026-03-20T12:35:53.000","DOT","Street Condition","Pothole","BROOKLYN","11230",,,,"OCEAN AVENUE","Open","The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair."
"2026-03-20T12:35:12.000","DOT","Street Condition","Pothole","BROOKLYN","11206","40.69907250204072","-73.93547064607122",,,"Open","The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair."
"2026-03-20T12:33:45.000","DSNY","Missed Collection","Bulky Recycling","BROOKLYN","11205","40.69027431941051","-73.95626372210714","Street","SKILLMAN STREET","Closed","The Department of Sanitation collected the requested items."
"2026-03-20T12:33:38.000","DOT","Sidewalk Condition","Broken Sidewalk","BROOKLYN","11233","40.68134452576258","-73.91145751303249","Sidewalk","ROCKAWAY AVENUE","In Progress",
"2026-03-20T12:33:29.000","DOT","Street Condition","Pothole","QUEENS","11101",,,,"NORTHERN BOULEVARD","Closed","The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed."
"2026-03-20T12:33:06.000","DOT","Street Condition","Pothole","BROOKLYN","11206",,,,"MOORE STREET","Closed","The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed."
"2026-03-20T12:32:32.000","DOT","Street Condition","Cave-in","BRONX","10465",,,"Street","LAFAYETTE AVENUE","Closed","The Department of Transportation inspected and has requested the Department of Environmental Protection address the issue. The condition will be re-inspected in 60 days."
"2026-03-20T12:32:25.000","DOT","Street Condition","Pothole","QUEENS","11423","40.722230159712126","-73.77717655780093",,"GRAND CENTRAL PARKWAY","Closed","The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed."
"2026-03-20T12:32:00.000","DEP","Sewer","Sewer Backup (Use Comments) (SA)","BROOKLYN","11238","40.68643902566585","-73.9615738559906",,"LEXINGTON AVENUE","Closed","The Department of Environmental Protection has investigated this complaint. Upon investigation, there was no indication of a city sewer issue and there is a suspected sewer backup due to an internal plumbing issue."
"2026-03-20T12:32:00.000","DEP","Water System","Possible Water Main Break (Use Comments) (WA1)","STATEN ISLAND","10306","40.57416002039983","-74.11668293093383",,,"Closed","The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed."
"2026-03-20T12:31:55.000","DOT","Street Condition","Pothole","QUEENS","11368","40.75787994256456","-73.85951485991768",,"NORTHERN BOULEVARD","Open","The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair."
"2026-03-20T12:30:46.000","DOT","Street Condition","Failed Street Repair","MANHATTAN","10025","40.79177259568819","-73.96461888389126","Street","CENTRAL PARK WEST","In Progress","The Department of Transportation will inspect the condition and will determine the next action."
"2026-03-20T12:30:35.000","DSNY","Missed Collection","Trash","BROOKLYN","11206","40.70083213574051","-73.95294963752127","Street","LORIMER STREET","In Progress","The Department of Sanitation investigated this complaint and found no condition at the location."
"2026-03-20T12:30:00.000","DEP","Sewer","Sewer Backup (Use Comments) (SA)","BROOKLYN","11221","40.687627808360894","-73.92364393267817",,"RALPH AVENUE","Closed","The Department of Environmental Protection has investigated this complaint. Upon investigation, there was no indication of a city sewer issue and there is a suspected sewer backup due to an internal plumbing issue."
"2026-03-20T12:29:40.000","DOT","Street Condition","Pothole","STATEN ISLAND","10303",,,,"SOUTH AVENUE","Closed","The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed."
"2026-03-20T12:28:28.000","DOT","Street Condition","Pothole","BRONX","10463","40.87892448779634","-73.90478656028658",,,"Open","The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair."
"2026-03-20T12:28:00.000","DOT","Street Light Condition","Street Light Out","STATEN ISLAND","10305","40.594085476785224","-74.07212266191202",,"FOCH AVENUE","Open",
"2026-03-20T12:27:56.000","DOT","Street Condition","Pothole","BROOKLYN","11233",,,,"EASTERN PARKWAY","Closed","The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed."
"2026-03-20T12:27:45.000","DOT","Street Condition","Pothole","BROOKLYN","11238",,,,"FRANKLIN AVENUE","Open","The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair."
"2026-03-20T12:27:00.000","DEP","Water System","Hydrant Running (WC3)","BRONX","10467","40.87482233752173","-73.87698949491214",,,"Closed","The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed."
"2026-03-20T12:27:00.000","DEP","Water System","Possible Water Main Break (Use Comments) (WA1)","QUEENS","11385","40.695898092211046","-73.89008568306639",,"80 AVENUE","Open",
"2026-03-20T12:26:56.000","DPR","Damaged Tree","Entire Tree Has Fallen Down","BROOKLYN","11205","40.69075965109989","-73.9723820115218","Street","CARLTON AVENUE","In Progress",
"2026-03-20T12:25:01.000","DOT","Street Condition","Pothole","QUEENS","11377","40.741520725926634","-73.90458957453846",,,"Closed","The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed."
"2026-03-20T12:24:10.000","DOT","Street Condition","Pothole","QUEENS","11377","40.74171428915491","-73.90633230529538",,,"Closed","The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed."
"2026-03-20T12:23:56.000","DOT","Street Condition","Pothole","BRONX","10468","40.86874961696823","-73.8949630643024",,,"Closed","The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed."
"2026-03-20T12:23:19.000","DPR","Root/Sewer/Sidewalk Condition","Trees and Sidewalks Program","BROOKLYN","11238","40.686533261581964","-73.96441511218617","Street","SAINT JAMES PLACE","In Progress",
"2026-03-20T12:22:35.000","DOT","Street Condition","Defective Hardware","MANHATTAN","10007","40.71002800361448","-74.01046028427078","Street","CORTLANDT STREET","Closed","The Department of Transportation inspected and has requested the Department of Environmental Protection address the issue. The condition will be re-inspected in 60 days."
"2026-03-20T12:21:00.000","DEP","Water System","Possible Water Main Break (Use Comments) (WA1)","QUEENS","11427",,,,"209 STREET","Closed","The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed."
"2026-03-20T12:20:26.000","DOT","Street Condition","Pothole","QUEENS","11377",,,,"QUEENS BOULEVARD","Open","The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair."
"2026-03-20T12:20:16.000","DOT","Street Condition","Pothole","BROOKLYN","11219",,,,"OVINGTON AVENUE","Closed","The Department of Transportation inspected this complaint and repaired the problem."
"2026-03-20T12:20:07.000","DSNY","Missed Collection","Trash","BROOKLYN","11217","40.683318273716594","-73.98582658357724","Street","WARREN STREET","In Progress","The Department of Sanitation collected the requested items."
"2026-03-20T12:19:43.000","DPR","Root/Sewer/Sidewalk Condition","Trees and Sidewalks Program","BROOKLYN","11238","40.686533261581964","-73.96441511218617","Street","ST JAMES PLACE","In Progress",
"2026-03-20T12:18:47.000","DOT","Street Condition","Failed Street Repair","QUEENS","11379","40.71469195236088","-73.88492157431125","Street","JUNIPER VALLEY ROAD","In Progress","The Department of Transportation will inspect the condition and will determine the next action."
"2026-03-20T12:17:04.000","DOT","Street Condition","Pothole","BROOKLYN","11234",,,,"KINGS HIGHWAY","Closed","The Department of Transportation inspected this complaint and repaired the problem."
"2026-03-20T12:17:00.000","DOT","Street Light Condition","Street Light Out","BROOKLYN","11206","40.70625594500014","-73.94132833512738",,"HUMBOLDT STREET","Open",
"2026-03-20T12:17:00.000","DEP","Water System","Possible Water Main Break (Use Comments) (WA1)","QUEENS","11354","40.774388596876946","-73.82838652410372",,"141 STREET","Open",
"2026-03-20T12:15:17.000","DOT","Street Condition","Pothole","BROOKLYN",,,,,"KINGS HIGHWAY","Closed","The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed."
"2026-03-20T12:14:56.000","DOT","Street Condition","Line/Marking - After Repaving","QUEENS","11377","40.75416069990565","-73.89863041994184","Street","68 STREET","In Progress",
"2026-03-20T12:13:51.000","DSNY","Missed Collection","Trash","QUEENS","11369","40.76531069171793","-73.87190673119935","Street","98 STREET","Closed","The Department of Sanitation collected the requested items."
"2026-03-20T12:13:00.000","DOT","Street Light Condition","Street Light Out","Unspecified",,,,,"WESTSHORE EXPY","Open",
"2026-03-20T12:12:23.000","DSNY","Missed Collection","Trash","BRONX","10458","40.86605104601322","-73.88573705715223","Street","WEBSTER AVENUE","Closed","The Department of Sanitation collected the requested items."
"2026-03-20T12:11:59.000","DOT","Street Condition","Pothole","BRONX","10465",,,,"CLARENCE AVENUE","Open","The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair."
"2026-03-20T12:11:00.000","DOT","Street Light Condition","Street Light Out","BRONX","10465","40.816453322519315","-73.81355601267589",,"HARDING AVENUE","Open",
"2026-03-20T12:10:33.000","DSNY","Missed Collection","Trash","QUEENS","11420","40.67519892874634","-73.81458900922769","Street","123 STREET","Closed","The Department of Sanitation collected the requested items."
"2026-03-20T12:08:51.000","DOT","Sidewalk Condition","Sidewalk Violation","STATEN ISLAND","10310","40.63815033469349","-74.1211798109726","Sidewalk","ALASKA STREET","In Progress",
"2026-03-20T12:08:41.000","DOT","Street Condition","Pothole","QUEENS","11435",,,,"148 STREET","Closed","The Department of Transportation inspected this complaint and did not find the reported problem."
"2026-03-20T12:08:40.000","DPR","Damaged Tree","Branch Cracked and Will Fall","BROOKLYN","11226","40.65518146681626","-73.9539765456767","Street","CLARKSON AVENUE","In Progress",
"2026-03-20T12:06:40.000","DSNY","Missed Collection","Bulky Trash","BROOKLYN","11209","40.6290092744462","-74.03174625115824","Street","RIDGE BOULEVARD","In Progress","The Department of Sanitation collected the requested items."
"2026-03-20T12:06:00.000","DEP","Water System","Leak (Use Comments) (WA2)","QUEENS","11370","40.77165250275735","-73.89208713998131",,"78 STREET","Closed","The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed."
"2026-03-20T12:05:00.000","DEP","Water System","Dirty Water (WE)","QUEENS","11367","40.726687026135565","-73.81908552175062",,"72 ROAD","Open",
"2026-03-20T12:04:04.000","DOT","Street Condition","Pothole","BROOKLYN","11215",,,,"14 STREET","Closed","The Department of Transportation inspected this complaint and did not find the reported problem."
"2026-03-20T12:01:43.000","DOT","Street Condition","Pothole","BROOKLYN","11236",,,,"FLATLANDS AVENUE","Closed","The Department of Transportation inspected this complaint and repaired the problem."
"2026-03-20T12:00:30.000","DPR","Damaged Tree","Branch or Limb Has Fallen Down","BROOKLYN","11230","40.623636741841025","-73.9754717632017","Street","AVENUE J","In Progress",
"2026-03-20T12:00:26.000","DOT","Street Condition","Pothole","BROOKLYN","11236",,,,"PAERDEGAT    1 STREET","Closed","The Department of Transportation inspected this complaint and repaired the problem."
"2026-03-20T12:00:04.000","DOT","Street Condition","Rough, Pitted or Cracked Roads","BRONX","10462","40.84456615803487","-73.85461513698942","Street","PIERCE AVENUE","In Progress",
"2026-03-20T12:00:00.000","DEP","Water System","Hydrant Running (WC3)","BRONX","10457","40.84706609532152","-73.89159251247655",,"HUGHES AVENUE","Closed","The Department of Environmental Protection investigated this complaint and shut the running hydrant."
"2026-03-20T11:57:46.000","DOT","Street Condition","Pothole","BROOKLYN","11236",,,,"GLENWOOD ROAD","Closed","The Department of Transportation inspected this complaint and repaired the problem."
"2026-03-20T11:57:00.000","DEP","Water System","Dirty Water (WE)","BROOKLYN","11204","40.622379010578484","-73.98939855487185",,"61 STREET","Open",
"2026-03-20T11:57:00.000","DEP","Water System","Hydrant Running (WC3)","QUEENS","11106","40.76759788310019","-73.93046922575887",,"31 AVENUE","Closed","The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed."
"2026-03-20T11:56:48.000","DOT","Street Condition","Pothole","MANHATTAN","10025",,,,"RIVERSIDE DRIVE","Open","The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair."
"2026-03-20T11:56:00.000","DEP","Water System","Dirty Water (WE)","QUEENS","11367","40.72204453822152","-73.81665935093477",,"77 AVENUE","Open",
"2026-03-20T11:55:37.000","DOT","Street Condition","Pothole","QUEENS","11367","40.71887403582905","-73.82349342643373",,,"Closed","The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed."
"2026-03-20T11:55:36.000","DOT","Street Condition","Pothole","QUEENS","11420",,,,"123 STREET","Open","The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair."
"2026-03-20T11:55:14.000","DOT","Street Condition","Pothole","STATEN ISLAND","10304",,,,"TARGEE STREET","Open","The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair."
"2026-03-20T11:55:01.000","DOT","Street Condition","Pothole","BROOKLYN","11236",,,,"AVENUE J","Closed","The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed."
"2026-03-20T11:54:53.000","DOT","Street Condition","Pothole","STATEN ISLAND","10304",,,,"RICHMOND ROAD","Open","The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair."
"2026-03-20T11:54:31.000","DOT","Street Condition","Pothole","STATEN ISLAND","10304",,,,"RICHMOND ROAD","Open","The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair."
"2026-03-20T11:54:26.000","DOT","Sidewalk Condition","Broken Sidewalk","BROOKLYN","11234","40.6110012555758","-73.93648860438736","Sidewalk","EAST 33 STREET","In Progress",
"2026-03-20T11:54:07.000","DOT","Street Condition","Pothole","STATEN ISLAND","10301","40.637352733570815","-74.1031341919968",,,"Open","The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair."
"2026-03-20T11:54:00.000","DEP","Water System","Dirty Water (WE)","QUEENS","11378","40.715438885645355","-73.90997291284505",,"56 STREET","Open",
"2026-03-20T11:53:42.000","DOT","Street Condition","Pothole","STATEN ISLAND","10304",,,,"SEAVIEW AVENUE","Open","The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair."
"2026-03-20T11:53:38.000","DOT","Street Condition","Pothole","BROOKLYN","11212",,,,"RALPH AVENUE","Closed","The Department of Transportation inspected this complaint and did not find the reported problem."
"2026-03-20T11:53:38.000","DOT","Street Condition","Pothole","STATEN ISLAND","10307",,,,"HYLAN BOULEVARD","Closed","The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed."
"2026-03-20T11:53:22.000","DOT","Street Condition","Cave-in","BROOKLYN","11229","40.597955850424434","-73.95527992036965","Street","EAST 16 STREET","Closed","The Department of Transportation inspected the condition you reported and found that the condition meets its standards and/or there is a valid permit to conduct work."
"2026-03-20T11:53:13.000","DOT","Street Condition","Pothole","STATEN ISLAND","10314",,,,"SLOSSON AVENUE","Closed","The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed."
"2026-03-20T11:52:59.000","DOT","Street Condition","Pothole","BRONX","10472",,,,"WHITE PLAINS ROAD","Closed","The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed."
"2026-03-20T11:52:40.000","DOT","Street Condition","Pothole","STATEN ISLAND","10310","40.63474811479101","-74.11453703796171",,,"Closed","The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed."
"2026-03-20T11:50:00.000","DEP","Water System","Leak (Use Comments) (WA2)","BROOKLYN","11208","40.67906058891442","-73.87304944068661",,"EUCLID AVENUE","Open",
"2026-03-20T11:48:58.000","DSNY","Missed Collection","Trash","QUEENS","11379","40.718967633196385","-73.87381397022956","Street","COWLES COURT","In Progress","The Department of Sanitation collected the requested items."
"2026-03-20T11:48:26.000","DOT","Street Condition","Defective Hardware","BROOKLYN","11211","40.70356919433772","-73.95425691810883","Street","MARCY AVENUE","In Progress",
"2026-03-20T11:47:15.000","DOT","Street Condition","Pothole","STATEN ISLAND","10303",,,,"SOUTH AVENUE","Open","The Department of Transportation assigned this complaint to a field crew for inspection and, if warranted, repair."
"2026-03-20T11:46:54.000","DPR","Root/Sewer/Sidewalk Condition","Trees and Sidewalks Program","BROOKLYN","11219","40.63763200542609","-73.9918894639301","Street","46 STREET","In Progress",
"2026-03-20T11:46:38.000","DOT","Street Condition","Rough, Pitted or Cracked Roads","QUEENS","11694","40.577583906125234","-73.85976449577974","Street","BEACH 140 STREET","Closed","The Department of Transportation investigated this request and determined this street requires a reconstruction project. This location is part of an existing project or may be included in a future project. These projects are long term and vary in length."
"2026-03-20T11:46:00.000","DOT","Street Light Condition","Street Light Out","QUEENS","11368","40.75707144196106","-73.85604057157163",,,"Open",
"2026-03-20T11:46:00.000","DEP","Water System","Leak (Use Comments) (WA2)","STATEN ISLAND","10304","40.618820169931645","-74.08239366698771",,"OSGOOD AVENUE","Closed","The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed."
"2026-03-20T11:46:00.000","DEP","Sewer","Sewer Backup (Use Comments) (SA)","BROOKLYN","11216","40.68413952135013","-73.94902410591199",,"PUTNAM AVENUE","Closed","The Department of Environmental Protection investigated this complaint and found there was no sewer back up in the city system at the time of the inspection."
"2026-03-20T11:45:00.000","DEP","Sewer","Sewer Backup (Use Comments) (SA)","BROOKLYN","11222","40.72457454970035","-73.94146012674697",,"KINGSLAND AVENUE","Closed","The Department of Environmental Protection has investigated this complaint. Upon investigation, there was no indication of a city sewer issue and there is a suspected sewer backup due to an internal plumbing issue."
"2026-03-20T11:44:56.000","DOT","Street Condition","Blocked - Construction","QUEENS","11692","40.59733841799391","-73.80204356952216","Street","HILLMEYER AVENUE","In Progress","The Department of Transportation will inspect the condition and will determine the next action."
"2026-03-20T11:43:00.000","DEP","Water System","Dirty Water (WE)","QUEENS","11367","40.72203907743923","-73.81667740421999",,"77 AVENUE","Open",
"2026-03-20T11:43:00.000","DEP","Water System","Hydrant Running (WC3)","BROOKLYN","11221","40.692733484404144","-73.93311120574732",,"KOSCIUSZKO STREET","Open",
"2026-03-20T11:43:00.000","DEP","Sewer","Sewer Backup (Use Comments) (SA)","QUEENS","11417","40.68000990703887","-73.84375035072368",,"95 STREET","Closed","The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed and attributed to grease. Work was performed to relieve the blockage."
"2026-03-20T11:42:11.000","DOT","Street Condition","Pothole","QUEENS","11434","40.66454007850872","-73.82275048488228",,,"Closed","The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed."
"2026-03-20T11:42:06.000","DSNY","Missed Collection","Bulky Recycling","QUEENS","11691","40.59943582683382","-73.73900127616827","Street","JARVIS AVENUE","In Progress","The Department of Sanitation investigated this complaint and found no condition at the location."
"2026-03-20T11:41:23.000","DOT","Sidewalk Condition","Broken Sidewalk","STATEN ISLAND","10306","40.56636686039998","-74.10602996397719","Sidewalk","CUBA AVENUE","In Progress",
"2026-03-20T11:41:12.000","DPR","Root/Sewer/Sidewalk Condition","Trees and Sidewalks Program","QUEENS","11413","40.67453371834438","-73.74895665939115","Street","137 AVENUE","In Progress",
"2026-03-20T11:40:25.000","DOT","Street Condition","Blocked - Construction","QUEENS","11001","40.73334454600277","-73.7076115900973","Street","86 AVENUE","In Progress","The Department of Transportation will inspect the condition and will determine the next action."
"2026-03-20T11:36:13.000","DOT","Street Condition","Pothole","BROOKLYN","11236",,,,"RALPH AVENUE","Closed","The Department of Transportation inspected this complaint and repaired the problem."
"2026-03-20T11:36:01.000","DOT","Sidewalk Condition","Sidewalk Violation","QUEENS","11426","40.735924272842894","-73.71960907732844","Sidewalk","248 STREET","In Progress",
"2026-03-20T11:35:56.000","DSNY","Missed Collection","Recycling - Metal/Glass/Rigid Plastic","BROOKLYN","11235","40.587733949440526","-73.96217791106778","Street","EAST 7 STREET","In Progress","The Department of Sanitation investigated this complaint and found no condition at the location."
"2026-03-20T11:35:24.000","DOT","Street Condition","Pothole","BROOKLYN","11203",,,,"TILDEN AVENUE","Closed","The Department of Transportation inspected this complaint and repaired the problem."
"2026-03-20T11:35:09.000","DOT","Sidewalk Condition","Broken Sidewalk","BROOKLYN","11215","40.662986941928104","-73.98049992062471","Sidewalk","13 STREET","In Progress",
"2026-03-20T11:35:02.000","DOT","Street Condition","Pothole","QUEENS","11691","40.602272723511426","-73.75335532624582",,,"Closed","The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed."
"2026-03-20T11:34:57.000","DSNY","Missed Collection","Bulky Trash","MANHATTAN","10011","40.74142015530006","-74.00500886737501","Street","9 AVENUE","Closed","The Department of Sanitation (DSNY) investigated your report. DSNY uses a split body truck to collect your trash and composting on your recycling day. Large items cannot always fit in these types of trucks. Please set out large items on your non-recycling day."
"2026-03-20T11:34:55.000","DOT","Street Condition","Pothole","QUEENS","11102",,,,"ASTORIA BOULEVARD","Closed","The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed."
"2026-03-20T11:34:42.000","DOT","Street Condition","Pothole","BROOKLYN","11210",,,,"GLENWOOD ROAD","Closed","The Department of Transportation inspected this complaint and repaired the problem."
"2026-03-20T11:34:36.000","DOT","Street Condition","Plate Condition - Shifted","QUEENS","11361","40.76279487656048","-73.76337029225412","Street","219 STREET","In Progress","The Department of Transportation will inspect the condition and will determine the next action."
"2026-03-20T11:33:59.000","DOT","Street Condition","Pothole","BROOKLYN","11226",,,,"CLARENDON ROAD","Closed","The Department of Transportation inspected this complaint and repaired the problem."
"2026-03-20T11:31:49.000","DPR","Damaged Tree","Tree Alive - in Poor Condition","BROOKLYN","11217","40.6828446650652","-73.97659293650169","Street","FLATBUSH AVENUE","In Progress",
"2026-03-20T11:29:54.000","DOT","Street Condition","Pothole","QUEENS","11104","40.74304598119282","-73.91775223427982",,,"Closed","The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed."
"2026-03-20T11:29:21.000","DOT","Street Condition","Defective Hardware","BROOKLYN","11230","40.61595672360399","-73.95658976251882","Street","AVENUE N","Closed","The Department of Transportation inspected and has requested the Department of Environmental Protection address the issue. The condition will be re-inspected in 60 days."
"2026-03-20T11:28:41.000","DOT","Street Condition","Pothole","QUEENS","11691",,,,"ELK DRIVE","Closed","The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed."
"2026-03-20T11:28:34.000","DOT","Street Condition","Pothole","BROOKLYN","11212",,,,"CHURCH AVENUE","Closed","The Department of Transportation inspected this complaint and repaired the problem."
"2026-03-20T11:28:27.000","DOT","Street Condition","Pothole","QUEENS","11101","40.7447332449159","-73.93358950294318",,,"Closed","The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed."
"2026-03-20T11:28:00.000","DPR","Damaged Tree","Entire Tree Has Fallen Down","QUEENS","11691","40.60536666913367","-73.74729001900268","Street","BEACH 12 STREET","In Progress","NYC Parks reviewed this request and will visit the location to investigate the condition.  Under NYC Parksâ Tree Risk Management Program, all trees under the agency's jurisdiction are assessed for risk, and work is prioritized to address the conditions with the highest risk first.  For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   To learn more about the trees in your neighborhood, visit the NYC Tree Map at nyc.gov/parks/treemap."
"2026-03-20T11:27:51.000","DOT","Street Condition","Pothole","MANHATTAN","10023","40.771780755176884","-73.9791936146363",,,"Closed","The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed."
"2026-03-20T11:27:49.000","DOT","Street Condition","Rough, Pitted or Cracked Roads","QUEENS","11434","40.67841364017922","-73.78058935692664","Street","161 PLACE","In Progress",
"2026-03-20T11:27:36.000","DPR","Damaged Tree","Branch Cracked and Will Fall","QUEENS","11358","40.77044816000059","-73.79693673935215","Street","168 STREET","In Progress","NYC Parks reviewed this request and will visit the location to investigate the condition.  Under NYC Parksâ Tree Risk Management Program, all trees under the agency's jurisdiction are assessed for risk, and work is prioritized to address the conditions with the highest risk first.  For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   To learn more about the trees in your neighborhood, visit the NYC Tree Map at nyc.gov/parks/treemap."
"2026-03-20T11:27:13.000","DOT","Street Condition","Blocked - Construction","QUEENS","11358","40.75406004629745","-73.80861975438344","Street","46 AVENUE","In Progress","The Department of Transportation will inspect the condition and will determine the next action."
"2026-03-20T11:26:53.000","DOT","Street Condition","Pothole","BROOKLYN","11221",,,,"BROADWAY","Closed","The Department of Transportation inspected this complaint and repaired the problem."
"2026-03-20T11:26:50.000","DOT","Street Condition","Pothole","QUEENS","11104",,,,"QUEENS BOULEVARD","Open","The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair."
"2026-03-20T11:26:09.000","DOT","Street Condition","Cave-in","QUEENS","11367","40.73145914762822","-73.8237379192185","Street","69 AVENUE","In Progress","The Department of Transportation will inspect the condition and will determine the next action."
"2026-03-20T11:25:00.000","DOT","Street Light Condition","Lamppost Missing","STATEN ISLAND","10309","40.52538679979101","-74.23926400287598",,,"Assigned","Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below."
"2026-03-20T11:24:51.000","DOT","Street Condition","Pothole","QUEENS","11377","40.74345557431229","-73.91483581341043",,,"Closed","The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed."
"2026-03-20T11:24:32.000","DOT","Street Condition","Pothole","QUEENS","11434","40.67898791436913","-73.78091194695465",,,"Open","The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair."
"2026-03-20T11:24:31.000","DPR","Damaged Tree","Branch Cracked and Will Fall","BROOKLYN","11223","40.602093726321456","-73.9678740198918","Street","AVENUE S","In Progress",
